region,country,sex,age,suicides_no,population,suicidal_perc,country-year, gdp_for_year,gdp_per_capita,generation
Africa,Mauritius,female,15-24 years,7,94082,7.44,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,female,25-34 years,10,86613,11.55,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,female,35-54 years,5,177447,2.82,Mauritius2015,"-1,192,614,822",10125,Generation X
Africa,Mauritius,female,5-14 years,0,83838,0,Mauritius2015,"-1,192,614,822",10125,Generation Z
Africa,Mauritius,female,55-74 years,4,116373,3.44,Mauritius2015,"-1,192,614,822",10125,Boomers
Africa,Mauritius,female,75+ years,0,25820,0,Mauritius2015,"-1,192,614,822",10125,Silent
Africa,Mauritius,male,15-24 years,14,96489,14.51,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,male,25-34 years,16,88362,18.11,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,male,35-54 years,37,180202,20.53,Mauritius2015,"-1,192,614,822",10125,Generation X
Africa,Mauritius,male,5-14 years,0,86385,0,Mauritius2015,"-1,192,614,822",10125,Generation Z
Africa,Mauritius,male,55-74 years,9,103727,8.68,Mauritius2015,"-1,192,614,822",10125,Boomers
Africa,Mauritius,male,75+ years,2,15510,12.89,Mauritius2015,"-1,192,614,822",10125,Silent
Africa,Seychelles,female,15-24 years,1,5957,16.79,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,female,25-34 years,0,7204,0,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,female,35-54 years,0,14823,0,Seychelles2015,"1,375,604,279",16005,Generation X
Africa,Seychelles,female,5-14 years,0,6271,0,Seychelles2015,"1,375,604,279",16005,Generation Z
Africa,Seychelles,female,55-74 years,0,7198,0,Seychelles2015,"1,375,604,279",16005,Boomers
Africa,Seychelles,female,75+ years,0,2025,0,Seychelles2015,"1,375,604,279",16005,Silent
Africa,Seychelles,male,15-24 years,1,6393,15.64,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,male,25-34 years,1,7565,13.22,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,male,35-54 years,3,14210,21.11,Seychelles2015,"1,375,604,279",16005,Generation X
Africa,Seychelles,male,5-14 years,0,6324,0,Seychelles2015,"1,375,604,279",16005,Generation Z
Africa,Seychelles,male,55-74 years,1,6903,14.49,Seychelles2015,"1,375,604,279",16005,Boomers
Africa,Seychelles,male,75+ years,0,1076,0,Seychelles2015,"1,375,604,279",16005,Silent
Africa,South Africa,female,15-24 years,34,5105930,0.67,South Africa2015,"-86,540,706",6403,Millenials
